statement_num	rFavor	dFavor	pFavor
"F10e_W1"	2.0	2.0	2.0
"F10e_W10"	1.0	1.0	1.0
"F10e_W11"	2.0	1.0	3.0
"F10e_W12"	1.0	1.0	1.0
"F10e_W2"	1.0	1.0	1.0
"F10e_W3"	2.0	3.0	2.0
"F10e_W4"	2.0	2.0	2.0
"F10e_W5"	2.0	3.0	2.0
"F10e_W6"	2.0	2.0	2.0
"F10e_W7"	2.0	3.0	2.0
"F10e_W8"	3.0	1.0	1.0
"F10e_W9"	2.0	2.0	2.0
"F1e_W1"	1.0	1.0	1.0
"F1e_W10"	1.0	1.0	1.0
"F1e_W11"	2.0	3.0	2.0
"F1e_W12"	2.0	1.0	3.0
"F1e_W2"	2.0	1.0	3.0
"F1e_W3"	2.0	3.0	2.0
"F1e_W4"	2.0	3.0	2.0
"F1e_W5"	2.0	1.0	3.0
"F1e_W6"	2.0	2.0	2.0
"F1e_W7"	2.0	3.0	2.0
"F1e_W8"	2.0	3.0	2.0
"F1e_W9"	2.0	1.0	3.0
"F2e_W1"	3.0	1.0	1.0
"F2e_W10"	2.0	2.0	2.0
"F2e_W11"	2.0	3.0	2.0
"F2e_W12"	2.0	2.0	2.0
"F2e_W2"	3.0	1.0	1.0
"F2e_W3"	1.0	1.0	1.0
"F2e_W4"	2.0	1.0	3.0
"F2e_W5"	3.0	1.0	1.0
"F2e_W6"	2.0	1.0	3.0
"F2e_W7"	2.0	3.0	2.0
"F2e_W8"	2.0	3.0	2.0
"F2e_W9"	2.0	1.0	3.0
"F3e_W1"	2.0	3.0	2.0
"F3e_W10"	2.0	3.0	2.0
"F3e_W11"	2.0	1.0	3.0
"F3e_W12"	2.0	3.0	2.0
"F3e_W2"	3.0	3.0	3.0
"F3e_W3"	2.0	1.0	3.0
"F3e_W4"	2.0	2.0	2.0
"F3e_W5"	2.0	3.0	2.0
"F3e_W6"	2.0	1.0	3.0
"F3e_W7"	2.0	1.0	3.0
"F3e_W8"	1.0	1.0	1.0
"F3e_W9"	3.0	1.0	1.0
"F4e_W1"	2.0	3.0	2.0
"F4e_W10"	2.0	3.0	2.0
"F4e_W11"	2.0	1.0	3.0
"F4e_W12"	2.0	3.0	2.0
"F4e_W2"	2.0	1.0	3.0
"F4e_W3"	3.0	1.0	1.0
"F4e_W4"	2.0	2.0	2.0
"F4e_W5"	2.0	2.0	2.0
"F4e_W6"	3.0	1.0	1.0
"F4e_W7"	2.0	2.0	2.0
"F4e_W8"	1.0	1.0	1.0
"F4e_W9"	2.0	2.0	2.0
"F5e_W1"	2.0	3.0	2.0
"F5e_W10"	2.0	1.0	3.0
"F5e_W11"	2.0	3.0	2.0
"F5e_W12"	2.0	2.0	2.0
"F5e_W2"	2.0	1.0	3.0
"F5e_W3"	2.0	1.0	3.0
"F5e_W4"	2.0	1.0	3.0
"F5e_W5"	2.0	1.0	3.0
"F5e_W6"	2.0	3.0	2.0
"F5e_W7"	2.0	3.0	2.0
"F5e_W8"	1.0	1.0	1.0
"F5e_W9"	2.0	3.0	2.0
"F6e_W1"	2.0	3.0	2.0
"F6e_W10"	1.0	1.0	1.0
"F6e_W11"	2.0	1.0	3.0
"F6e_W12"	2.0	3.0	2.0
"F6e_W2"	2.0	2.0	2.0
"F6e_W3"	2.0	3.0	2.0
"F6e_W4"	2.0	2.0	2.0
"F6e_W5"	1.0	1.0	1.0
"F6e_W6"	3.0	3.0	3.0
"F6e_W7"	2.0	2.0	2.0
"F6e_W8"	3.0	1.0	1.0
"F6e_W9"	2.0	3.0	2.0
"F7e_W1"	2.0	1.0	3.0
"F7e_W10"	2.0	1.0	3.0
"F7e_W11"	2.0	1.0	3.0
"F7e_W12"	3.0	1.0	1.0
"F7e_W2"	2.0	1.0	3.0
"F7e_W3"	2.0	2.0	2.0
"F7e_W4"	2.0	3.0	2.0
"F7e_W5"	1.0	1.0	1.0
"F7e_W6"	2.0	1.0	3.0
"F7e_W7"	2.0	1.0	3.0
"F7e_W8"	2.0	3.0	2.0
"F7e_W9"	1.0	1.0	1.0
"F8e_W1"	2.0	3.0	2.0
"F8e_W10"	2.0	2.0	2.0
"F8e_W11"	2.0	2.0	2.0
"F8e_W12"	2.0	1.0	3.0
"F8e_W2"	2.0	2.0	2.0
"F8e_W3"	2.0	1.0	3.0
"F8e_W4"	3.0	1.0	1.0
"F8e_W5"	2.0	3.0	2.0
"F8e_W6"	3.0	2.0	2.0
"F8e_W7"	2.0	1.0	3.0
"F8e_W8"	3.0	1.0	1.0
"F8e_W9"	2.0	2.0	2.0
"F9e_W1"	3.0	1.0	1.0
"F9e_W10"	1.0	1.0	1.0
"F9e_W11"	2.0	2.0	2.0
"F9e_W12"	1.0	1.0	1.0
"F9e_W2"	2.0	1.0	3.0
"F9e_W3"	3.0	3.0	3.0
"F9e_W4"	2.0	2.0	2.0
"F9e_W5"	2.0	1.0	3.0
"F9e_W6"	2.0	1.0	3.0
"F9e_W7"	3.0	3.0	3.0
"F9e_W8"	2.0	1.0	3.0
"F9e_W9"	1.0	1.0	1.0
"T10e_W1"	1.0	1.0	1.0
"T10e_W10"	2.0	1.0	3.0
"T10e_W11"	1.0	1.0	1.0
"T10e_W12"	3.0	1.0	1.0
"T10e_W2"	2.0	1.0	3.0
"T10e_W3"	2.0	1.0	3.0
"T10e_W4"	1.0	1.0	1.0
"T10e_W5"	3.0	1.0	1.0
"T10e_W6"	1.0	1.0	1.0
"T10e_W7"	1.0	1.0	1.0
"T10e_W8"	1.0	1.0	1.0
"T10e_W9"	1.0	1.0	1.0
"T1e_W1"	2.0	3.0	2.0
"T1e_W10"	3.0	1.0	1.0
"T1e_W11"	3.0	1.0	1.0
"T1e_W12"	1.0	1.0	1.0
"T1e_W2"	1.0	1.0	1.0
"T1e_W3"	1.0	1.0	1.0
"T1e_W4"	2.0	1.0	3.0
"T1e_W5"	1.0	1.0	1.0
"T1e_W6"	2.0	3.0	2.0
"T1e_W7"	1.0	1.0	1.0
"T1e_W8"	2.0	3.0	2.0
"T1e_W9"	2.0	1.0	3.0
"T2e_W1"	2.0	1.0	3.0
"T2e_W10"	3.0	1.0	1.0
"T2e_W11"	1.0	1.0	1.0
"T2e_W12"	1.0	1.0	1.0
"T2e_W2"	3.0	2.0	2.0
"T2e_W3"	3.0	3.0	3.0
"T2e_W4"	1.0	1.0	1.0
"T2e_W5"	3.0	1.0	1.0
"T2e_W6"	3.0	1.0	1.0
"T2e_W7"	1.0	1.0	1.0
"T2e_W8"	2.0	1.0	3.0
"T2e_W9"	2.0	1.0	3.0
"T3e_W1"	2.0	1.0	3.0
"T3e_W10"	1.0	1.0	1.0
"T3e_W11"	1.0	1.0	1.0
"T3e_W12"	2.0	1.0	3.0
"T3e_W2"	3.0	1.0	1.0
"T3e_W3"	3.0	1.0	1.0
"T3e_W4"	2.0	1.0	3.0
"T3e_W5"	1.0	3.0	1.0
"T3e_W6"	3.0	1.0	1.0
"T3e_W7"	1.0	1.0	1.0
"T3e_W8"	2.0	1.0	3.0
"T3e_W9"	3.0	1.0	1.0
"T4e_W1"	2.0	1.0	3.0
"T4e_W10"	3.0	1.0	1.0
"T4e_W11"	3.0	1.0	1.0
"T4e_W12"	2.0	3.0	2.0
"T4e_W2"	1.0	1.0	1.0
"T4e_W3"	2.0	1.0	3.0
"T4e_W4"	1.0	1.0	1.0
"T4e_W5"	3.0	1.0	1.0
"T4e_W6"	3.0	3.0	3.0
"T4e_W7"	3.0	3.0	3.0
"T4e_W8"	1.0	1.0	1.0
"T4e_W9"	1.0	1.0	1.0
"T5e_W1"	1.0	1.0	1.0
"T5e_W10"	1.0	1.0	1.0
"T5e_W11"	1.0	1.0	1.0
"T5e_W12"	3.0	3.0	3.0
"T5e_W2"	3.0	1.0	1.0
"T5e_W3"	3.0	1.0	1.0
"T5e_W4"	3.0	1.0	1.0
"T5e_W5"	3.0	1.0	1.0
"T5e_W6"	3.0	1.0	1.0
"T5e_W7"	3.0	1.0	1.0
"T5e_W8"	3.0	1.0	1.0
"T5e_W9"	3.0	1.0	1.0
